
<!-- saved from url=(0034)http://fx.sauder.ubc.ca/cgi/fxdata -->
<html><head><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"><style type="text/css"></style></head><body><pre style="word-wrap: break-word; white-space: pre-wrap;">"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","XAU/USD","XAG/USD","XPT/USD","CAD/USD","EUR/USD","JPY/USD","GBP/USD","CHF/USD","AUD/USD","HKD/USD","NZD/USD","KRW/USD","MXN/USD"
2452851,"2003/07/30","Wed",0.0028133,0.198476,0.00146654,1.3997,0.87971,120.54,0.61832,1.3637,1.5322,7.7992,1.7147,1180.18,10.476
2452852,"2003/07/31","Thu",0.0027974,0.192898,0.00146469,1.4073,0.89024,120.43,0.62146,1.3736,1.5450,7.7993,1.7257,1180.62,10.539
2452853,"2003/08/01","Fri",0.0028197,0.194203,0.00146434,1.3964,0.88841,119.98,0.62295,1.3666,1.5295,7.7992,1.7048,1184.39,10.589
2452857,"2003/08/05","Tue",0.0028644,0.202205,0.00147036,1.4043,0.88121,119.94,0.62173,1.3521,1.5481,7.7994,1.7224,1188.07,10.706
2452858,"2003/08/06","Wed",0.0028509,0.202005,0.00147734,1.4058,0.88050,120.29,0.62179,1.3490,1.5462,7.7995,1.7196,1185.33,10.719
2452859,"2003/08/07","Thu",0.0028324,0.197637,0.00148161,1.3932,0.87716,119.00,0.61840,1.3475,1.5367,7.7995,1.7187,1184.69,10.688
2452860,"2003/08/08","Fri",0.0028051,0.201330,0.00148187,1.3935,0.88330,118.98,0.62182,1.3578,1.5310,7.7995,1.7174,1180.93,10.671
2452863,"2003/08/11","Mon",0.0027698,0.201890,0.00145254,1.3835,0.88104,118.34,0.62225,1.3593,1.5187,7.7995,1.7206,1179.46,10.703
2452864,"2003/08/12","Tue",0.0027798,0.205582,0.00144213,1.3852,0.88427,118.51,0.62374,1.3655,1.5224,7.7993,1.6994,1178.89,10.738
2452865,"2003/08/13","Wed",0.0027701,0.202103,0.00146618,1.3837,0.88348,119.06,0.62186,1.3654,1.5207,7.7993,1.7007,1179.63,10.759
2452866,"2003/08/14","Thu",0.0027481,0.199656,0.00144929,1.3934,0.88887,119.13,0.62510,1.3716,1.5232,7.7993,1.7055,1177.85,10.704
2452867,"2003/08/15","Fri",0.0027526,0.204072,0.00144148,1.3872,0.88832,119.25,0.62645,1.3720,1.5174,7.7993,1.7054,1177.59,10.724
